Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url
2019-04-02,Spider-Man: No Way Home,Spider-Man: No Way Home — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),198.814,4511,5.2,es,"Comedy, Drama, Family",https://image.tmdb.org/t/p/original/100poster.jpg
2022-09-25,The Batman,The Batman — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),239.107,1540,5.1,de,"Action, Science Fiction, Mystery",https://image.tmdb.org/t/p/original/101poster.jpg
2022-09-15,No Exit,No Exit — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1361.622,9659,5.4,en,War,https://image.tmdb.org/t/p/original/102poster.jpg
2021-10-25,Encanto,Encanto — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1703.334,3532,8.8,ru,Drama,https://image.tmdb.org/t/p/original/103poster.jpg
2022-04-06,The King's Man,The King's Man — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),625.462,5640,7,en,"History, Comedy, Western",https://image.tmdb.org/t/p/original/104poster.jpg
2022-03-31,The Commando,The Commando — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),518.861,4808,8.1,ru,"Science Fiction, Drama, Action",https://image.tmdb.org/t/p/original/105poster.jpg
2020-07-22,Scream,Scream — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),4649.757,1312,8.3,fr,"Animation, History",https://image.tmdb.org/t/p/original/106poster.jpg
2022-02-03,Kimi,Kimi — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1017.792,5825,5,hi,"Drama, Horror, Animation",https://image.tmdb.org/t/p/original/107poster.jpg
2020-09-29,Fistful of Vengeance,Fistful of Vengeance — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1022.245,6221,5.3,de,Crime,https://image.tmdb.org/t/p/original/108poster.jpg
2018-08-18,Eternals,Eternals — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1412.836,530,8,ko,"Drama, Science Fiction",https://image.tmdb.org/t/p/original/109poster.jpg
2021-07-12,Pursuit,Pursuit — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1315.128,8184,6,it,Animation,https://image.tmdb.org/t/p/original/110poster.jpg
2019-07-26,My Hero Academia: World Heroes' Mission,My Hero Academia: World Heroes' Mission — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1517.434,9202,6.7,ko,"Romance, Mystery, Comedy",https://image.tmdb.org/t/p/original/111poster.jpg
2019-07-21,Restless,Restless — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),3081.681,1494,7.8,fr,Horror,https://image.tmdb.org/t/p/original/112poster.jpg
2022-09-26,Nightmare Alley,Nightmare Alley — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),3598.634,6309,5.9,it,"Animation, Action, Crime",https://image.tmdb.org/t/p/original/113poster.jpg
2019-04-15,The Ice Age Adventures of Buck Wild,The Ice Age Adventures of Buck Wild — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),4106.177,8802,7.8,ru,Family,https://image.tmdb.org/t/p/original/114poster.jpg
2022-11-16,Hotel Transylvania: Transformania,Hotel Transylvania: Transformania — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),991.039,58,8.8,hi,"Horror, Comedy, War",https://image.tmdb.org/t/p/original/115poster.jpg
2021-05-07,Texas Chainsaw Massacre,Texas Chainsaw Massacre — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),5057.933,8322,7,es,"Horror, Action",https://image.tmdb.org/t/p/original/116poster.jpg
2021-08-20,The Requin,The Requin — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),2957.204,1837,8.6,hi,Adventure,https://image.tmdb.org/t/p/original/117poster.jpg
2020-09-13,Looop Lapeta,Looop Lapeta — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),5274.157,1295,4.4,it,Thriller,https://image.tmdb.org/t/p/original/118poster.jpg
2019-06-10,Red Notice,Red Notice — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),3975.517,9012,4.8,de,"War, Science Fiction, History",https://image.tmdb.org/t/p/original/119poster.jpg
2020-04-03,Sing 2,Sing 2 — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),4292.046,6542,9,ru,"Western, History",https://image.tmdb.org/t/p/original/120poster.jpg
2019-05-11,The Jack in the Box: Awakening,The Jack in the Box: Awakening — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1525.038,1054,5.7,de,Fantasy,https://image.tmdb.org/t/p/original/121poster.jpg
2018-01-30,Venom: Let There Be Carnage,Venom: Let There Be Carnage — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),472.409,969,5.1,en,"Drama, Fantasy",https://image.tmdb.org/t/p/original/122poster.jpg
2021-02-14,The Matrix Resurrections,The Matrix Resurrections — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),4030.418,3515,6.7,it,Music,https://image.tmdb.org/t/p/original/123poster.jpg
2022-07-26,Resident Evil: Welcome to Raccoon City,Resident Evil: Welcome to Raccoon City — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1182.939,1593,7.3,ru,"War, History",https://image.tmdb.org/t/p/original/124poster.jpg
2018-08-10,Last Man Down,Last Man Down — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),4056.519,1617,4.3,ru,Fantasy,https://image.tmdb.org/t/p/original/125poster.jpg
2020-02-24,American Siege,American Siege — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),1181.743,7355,4.7,es,"History, Fantasy",https://image.tmdb.org/t/p/original/126poster.jpg
2018-11-05,Uncharted,Uncharted — A gripping story about characters facing unexpected challenges and high stakes. (Synopsis generated.),2686.628,9021,4.5,de,Drama,https://image.tmdb.org/t/p/original/127poster.jpg
